"kaptCode","kaptName","bjdCode","as1","as2","as3","as4","createdAt"
A10020737,진주의봄 아파트,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.611"
A10021300,가좌대화리네르빌,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.622"
A10021358,경상국립대 행복주택,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.632"
A10022558,우미린 더시그니처,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.643"
A10022624,신진주라비에데시앙 ,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.654"
A10023967,프리미어웰가,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.664"
A10024740,신진주시티프라디움2차아파트,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.674"
A10025102,포레나신진주아파트,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.684"
A10025172,SKY시티프라디움,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.696"
A10025903,센트럴웰가아파트,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.706"
A66030001,제일풍경채,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.716"
A66070101,가호에일린의뜰,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.726"
A66070102,가좌올리움,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.736"
A66076105,진주가좌1주공,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.747"
A66077903,가좌그린빌주공,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.757"
A66078902,가좌3주공,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.767"
A66078904,진주가좌주공2아파트,"4817013100",경상남도,진주시,가좌동,,"2025-04-22 17:27:04.778"
A10022106,일진스위트포레강남,"4817010300",경상남도,진주시,강남동,,"2025-04-22 17:27:03.557"
A10024438,진주 일동미라주 아파트,"4817010300",경상남도,진주시,강남동,,"2025-04-22 17:27:03.568"
A66025001,대경강남타운,"4817010300",경상남도,진주시,강남동,,"2025-04-22 17:27:03.578"
