단지명,계약일자,거래금액,전용면적,층,건축년도,도로명
진주초전푸르지오1단지,2023-01-30,43000,101.977,23,2009,초장로14번길
벽산블루밍(구)동신,2023-01-30,8100,59.76,1,1993,진양호로125번길
진주혁신코오롱하늘채,2023-01-30,37600,84.95,20,2014,사들로
럭키강변,2023-01-27,13000,74.21,1,1991,남강로
남강휴먼빌,2023-01-25,28000,84.9499,11,2010,순환로
금산아이파크,2023-01-30,24200,115.68,7,2004,중천로
청구타운,2023-01-24,15500,59.99,9,1997,대신로475번길
진주초전푸르지오1단지,2023-01-20,48500,134.68,23,2009,초장로14번길
이현하이클래스웰가,2023-01-21,51500,176.73,6,2008,진주대로
진주혁신도시대방노블랜드더캐슬아파트,2023-01-30,50500,84.9474,18,2018,사들로
진주혁신도시대방노블랜드더캐슬아파트,2023-01-18,59900,103.3591,20,2018,사들로
진주평거엘크루,2023-01-14,43000,84.9195,6,2016,새평거로
주공그린빌,2023-01-17,18000,59.27,19,2005,내동로348번길
동신,2023-01-31,6700,59.92,5,1992,광제산로
혁신도시엘에이치아파트8단지,2023-01-14,25000,59.97,4,2015,사들로
신익무지개,2023-01-27,4450,40.56,1,1987,숙호산로
평거현대1,2023-01-27,23000,84.75,8,1993,평거로115번길
들말한보타운,2023-01-27,26800,84.98,12,1997,평거로39번길
더퀸즈웰가,2023-01-31,31000,58.4018,24,2015,새평거로
가좌주공2차,2023-01-17,15700,49.94,15,1993,가호로
진주문산파란채,2023-01-11,18500,84.9015,1,2010,월아산로1048번길
한보타워(하대1차),2023-01-31,6500,53.32,3,1992,모덕로306번길
대림,2023-01-12,8900,84.2,7,1993,향교로115번길
포레나신진주,2023-01-11,40000,84.9543,16,2019,진주역로96번길
힐스테이트초전,2023-01-29,38400,84.9196,6,2019,초북로
주공그린빌,2023-01-28,18500,59.27,17,2005,내동로348번길
진주혁신코오롱하늘채,2023-01-25,34900,84.95,16,2014,사들로
진주정촌대경파미르,2023-01-24,32000,84.9426,4,2019,삼일로106번길
에스디푸른마을,2023-01-31,19500,84.993,5,2010,상봉대룡길
진흥더루벤스,2023-01-11,24000,122.956,2,2009,금산로
주공그린빌,2023-01-30,18000,59.27,6,2005,내동로348번길
진주혁신도시중흥에스-클래스더퍼스트,2023-01-14,59700,99.864,5,2020,충의로
현대,2023-01-14,15800,84.99,2,1991,모덕로181번길
흥한스위트,2023-01-27,11200,59.73,6,1998,신안로
혁신도시엘에이치아파트8단지,2023-01-06,26000,59.97,8,2015,사들로
주공그린빌,2023-01-28,16500,51.74,6,2005,내동로348번길
진주혁신도시라온프라이빗아파트,2023-01-29,37500,79.0385,15,2017,대밭골로
진주혁신코오롱하늘채,2023-01-30,31000,75.99,9,2014,사들로
덕산,2023-01-21,9400,59.73,8,1995,서장대로178번길
흥한타운2,2023-01-05,15000,59.935,4,1995,평거로139번길
진주혁신도시중흥에스-클래스더퍼스트,2023-01-31,66500,99.9097,20,2020,충의로
