단지명,계약일자,보증금액,전용면적,층,건축년도,주소
,2023-01-28,23000,75.998,26,2021,강남동 387
,2023-01-04,32000,84.8133,22,2018,가좌동 1981
,2023-01-28,23000,75.998,26,2021,강남동 387
,2023-01-28,23000,75.998,26,2021,강남동 387
,2023-01-31,30000,84.9914,24,2018,가좌동 1981
,2023-01-25,29000,75.7795,18,2018,가좌동 1981
,2023-01-20,32000,84.9222,32,2018,가좌동 1981
,2023-01-28,23000,75.998,26,2021,강남동 387
,2023-01-14,25000,59.8868,7,2018,가좌동 1981
,2023-01-05,19500,75.7795,18,2018,가좌동 1981
,2023-01-04,27000,84.9914,26,2018,가좌동 1981
,2023-01-04,29500,84.9914,19,2018,가좌동 1981
,2023-02-18,30000,84.9222,14,2018,가좌동 1981
,2023-02-20,28000,84.9806,15,2021,강남동 387
,2023-02-25,30000,84.8133,18,2018,가좌동 1981
,2023-02-25,30000,84.8133,18,2018,가좌동 1981
,2023-02-25,30000,84.8133,18,2018,가좌동 1981
,2023-02-20,28000,84.9806,15,2021,강남동 387
,2023-02-11,28000,84.9914,26,2018,가좌동 1981
,2023-02-16,31500,84.9914,11,2018,가좌동 1981
,2023-02-16,31500,84.9914,11,2018,가좌동 1981
,2023-02-25,31000,84.9222,33,2018,가좌동 1981
,2023-02-19,27000,84.9806,6,2021,강남동 387
,2023-02-12,28000,59.4732,5,2018,가좌동 1981
,2023-02-18,30000,84.9222,7,2018,가좌동 1981
,2023-02-18,30000,84.9222,14,2018,가좌동 1981
,2023-02-18,27000,84.9806,6,2021,강남동 387
,2023-02-11,30000,84.8381,6,2018,가좌동 1981
,2023-02-10,4800,39.49,5,2003,봉곡동 469-9
,2023-02-11,28000,75.3872,33,2018,가좌동 1981
,2023-02-07,26000,75.3872,6,2018,가좌동 1981
,2023-02-04,5425,55.8,3,1983,이현동 8-1
,2023-03-22,26000,75.998,18,2021,강남동 387
,2023-03-22,26000,75.998,18,2021,강남동 387
,2023-03-22,26000,75.998,18,2021,강남동 387
,2023-03-30,29000,84.9831,20,2021,강남동 387
,2023-03-25,29500,84.9806,15,2021,강남동 387
,2023-03-22,26000,75.998,18,2021,강남동 387
,2023-03-30,32000,84.9806,22,2021,강남동 387
,2023-03-01,32000,84.9222,23,2018,가좌동 1981
,2023-03-18,30000,75.3872,24,2018,가좌동 1981
,2023-04-09,34000,84.8133,28,2018,가좌동 1981
,2023-04-09,34000,84.8133,28,2018,가좌동 1981
,2023-04-08,27000,75.998,5,2021,강남동 387
,2023-04-30,27000,59.8868,1,2018,가좌동 1981
,2023-04-10,23100,84.9222,30,2018,가좌동 1981
,2023-04-10,30000,84.9914,10,2018,가좌동 1981
,2023-04-27,29000,84.9806,11,2021,강남동 387
,2023-04-03,7500,33.06,2,2017,하대동 603-1
,2023-04-21,28000,75.998,12,2021,강남동 387
,2023-04-15,32000,84.9914,27,2018,가좌동 1981
,2023-04-05,31000,84.9806,12,2021,강남동 387
,2023-04-01,30500,84.9806,24,2021,강남동 387
,2023-05-25,29000,84.9831,32,2021,강남동 387
,2023-05-12,30000,84.9222,3,2018,가좌동 1981
,2023-05-20,33000,84.9222,12,2018,가좌동 1981
