단지명,계약일자,거래금액,전용면적,층,건축년도,도로명
,2023-01-27,4450,40.56,1,1987,숙호산로
,2023-01-12,8900,84.2,7,1993,향교로115번길
,2023-01-27,11200,59.73,6,1998,신안로
,2023-01-26,18000,84.58,2,2005,돗골로106번길
,2023-01-11,9000,59.49,3,1987,서장대로278번길
,2023-01-09,7300,68.54,4,1989,공단로91번길
,2023-02-13,13900,136.3,6,1993,향교로115번길
,2023-02-28,18700,84.7215,7,2007,진주대로954번길
,2023-02-09,8600,83.4,1,1989,신안로
,2023-02-05,22500,84.58,8,2005,돗골로106번길
,2023-02-18,11800,84.63,4,1989,망경남길
,2023-02-21,8200,84.63,5,1988,신안로164번길
,2023-02-20,8000,83.64,6,1992,숙호산로
,2023-02-17,15350,84.732,5,2011,진양호로570번길
,2023-02-11,6300,56.74,5,1991,말티고개로100번길
,2023-02-15,7700,64.5,3,1990,망진산길
,2023-02-10,6900,75.71,5,1989,망경남길
,2023-02-12,6300,56.74,5,1991,말티고개로100번길
,2023-02-07,8900,71.58,2,1988,평거로284번길
,2023-02-06,19000,84.546,3,2007,진주대로954번길
,2023-03-22,3270,30.6298,3,2004,북장대로35번길
,2023-03-22,3820,35.6478,2,2004,북장대로35번길
,2023-03-30,4000,39.49,4,2003,북장대로35번길
,2023-03-24,3270,30.6298,3,2004,북장대로35번길
,2023-03-24,3820,35.6478,2,2004,북장대로35번길
,2023-03-25,5200,39.49,5,2003,북장대로35번길
,2023-03-23,7300,73.6,4,1990,숙호산로
,2023-03-23,25000,164.8,9,2001,도동로263번길
,2023-03-15,11200,59.99,12,2002,촉석로50번길
,2023-03-01,7500,73.11,2,1987,서장대로393번길
,2023-03-10,1600,14.63,2,2003,북장대로35번길
,2023-03-03,11000,82.02,1,1987,서장대로393번길
,2023-03-07,15000,102.34,3,2005,창렬로14번길
,2023-04-20,6900,57.31,7,1993,향교로115번길
,2023-04-29,11900,84.96,1,1991,남강로503번길
,2023-04-21,8300,56.26,1,1990,하대로106번길
,2023-04-12,8950,84.705,5,1991,하대로105번길
,2023-04-25,8000,84.63,4,1988,신안로164번길
,2023-04-20,11500,83.4,1,1989,신안로
,2023-04-10,10700,82.02,4,1987,서장대로393번길
,2023-04-21,4500,59.64,5,1990,망진산길
,2023-04-09,13900,49.74,2,2017,하대로26번길
,2023-04-22,14000,59.99,4,2002,촉석로50번길
,2023-04-07,5500,79.24,5,1986,진주대로1195번길
,2023-04-07,9550,76.55,4,1990,하대로106번길
,2023-04-12,9800,84.64,1,1992,숙호산로
,2023-04-13,4300,51.54,3,1990,망진산길
,2023-04-01,12800,59.73,14,1998,신안로
,2023-04-06,7300,58.67,3,1990,숙호산로
,2023-04-05,6500,54.3,1,1991,말티고개로100번길
,2023-04-05,5400,53.86,3,1990,숙호산로
,2023-04-03,12400,59.82,3,2000,남강로736번길
,2023-05-29,5350,61.41,3,1984,공단로139번길
,2023-05-08,9000,68.54,1,1989,공단로91번길
,2023-05-20,11500,83.4,4,1989,신안로
,2023-05-26,6500,54.3,1,1991,말티고개로100번길
,2023-05-23,14400,84.96,4,2002,남강로1413번길
,2023-05-08,9200,75.71,3,1989,망경남길
,2023-05-07,3900,39.49,3,2003,북장대로35번길
,2023-06-08,9800,83.4,4,1989,신안로
,2023-06-12,6800,59.94,2,1990,남강로1093번길
,2023-06-12,10700,84.63,2,1988,신안로164번길
,2023-06-19,7800,59.87,3,1987,숙호산로
,2023-06-13,6200,71.34,5,1991,하대로105번길
,2023-06-15,15900,97.14,5,1989,진주대로986번길
,2023-06-10,11800,89.17,1,1989,진주대로986번길
,2023-06-03,4600,59.79,5,1990,공단로236번길
,2023-07-20,6700,77.92,2,1991,숙호산로
,2023-07-27,7500,70.56,5,1991,말티고개로100번길
,2023-07-07,14300,89.17,4,1989,진주대로986번길
,2023-07-20,6800,68.54,4,1989,공단로91번길
,2023-08-19,7300,59.83,8,1994,진의로1079번길
,2023-08-21,12850,59.82,3,2000,남강로736번길
,2023-08-24,17500,84.86,6,1998,신안로
,2023-08-11,4500,30.66,4,2002,비봉로57번길
,2023-08-16,22500,84.96,10,2000,남강로736번길
,2023-08-22,6500,47.16,3,1991,말티고개로100번길
,2023-08-14,8300,75.73,5,1989,하대로106번길
,2023-09-15,8500,59.83,3,1994,진의로1079번길
,2023-09-20,9300,77.21,4,1990,숙호산로
,2023-09-23,5800,70.68,6,1991,말티고개로100번길
,2023-09-11,10500,80.37,4,1991,강남로177번길
,2023-09-25,9900,84.64,2,1992,숙호산로
,2023-09-22,12900,59.73,13,1998,신안로
,2023-09-11,9500,119.15,4,1989,남강로539번길
,2023-09-06,15300,136.3,7,1993,향교로115번길
,2023-09-04,18000,84.7215,8,2007,진주대로954번길
,2023-09-06,5200,66.24,5,1991,숙호산로
,2023-10-26,12150,84.31,2,2017,하대로26번길
,2023-10-26,12150,84.31,3,2017,하대로26번길
,2023-10-23,6500,59.35,1,1990,남강로1069번길
,2023-10-27,9500,59.49,2,1987,서장대로278번길
,2023-10-26,8500,70.68,3,1989,하대로106번길
,2023-10-31,10400,83.1,3,1987,서장대로393번길
,2023-10-27,9900,83.26,5,1984,동진로119번길
,2023-10-20,12900,59.857,7,2016,동부로1959번길
,2023-10-30,10000,68.54,3,1989,공단로91번길
,2023-10-20,12500,84.57,4,1989,하대로106번길
,2023-10-11,8450,70.68,3,1989,하대로106번길
,2023-10-14,17800,84.6132,15,2007,중천로67번길
,2023-10-03,5900,59.35,3,1990,남강로1069번길
,2023-10-06,4300,59.64,5,1990,망진산길
,2023-11-25,10800,59.49,2,1987,서장대로278번길
,2023-11-17,8300,54.09,3,2017,하대로26번길
,2023-11-17,4800,31.92,3,2017,하대로26번길
,2023-11-30,4300,44.06,3,1990,석갑로142번길
,2023-11-28,13750,45.51,6,2017,하대로26번길
,2023-11-24,4100,51.04,5,1990,숙호산로
,2023-11-09,9250,65.73,3,1986,모덕로64번길
,2023-11-20,8200,75.73,5,1989,하대로106번길
,2023-11-24,12150,84.31,2,2017,하대로26번길
,2023-11-13,9000,31.92,3,2017,하대로26번길
,2023-11-20,16700,54.6,5,2017,하대로26번길
,2023-11-14,7000,84.77,2,1989,숙호산로
,2023-12-19,17000,124.7,3,1989,모덕로270번길
,2023-12-29,17700,84.6974,5,2001,천수로298번길
,2023-12-25,10000,80.28,4,1987,서장대로393번길
,2023-12-14,7200,65.73,5,1986,모덕로64번길
,2023-12-22,8300,54.09,3,2017,하대로26번길
,2023-12-28,9000,84.15,2,1987,북장대로6번길
,2023-12-19,17000,124.7,3,1989,모덕로270번길
,2023-12-01,12700,81.52,1,1990,하대로106번길
,2023-12-12,15500,76.5349,4,2020,광제산로26번길
,2023-12-12,16600,81.7626,5,2020,광제산로26번길
,2023-12-12,16700,81.6426,6,2020,광제산로26번길
,2023-12-12,16700,81.6426,7,2020,광제산로26번길
,2023-12-12,15600,76.5349,8,2020,광제산로26번길
,2023-12-12,16300,81.6426,10,2020,광제산로26번길
,2023-12-08,11700,84.57,4,1989,하대로106번길
,2023-12-09,18700,84.6132,18,2007,중천로67번길
,2023-12-01,18000,84.6132,10,2007,중천로67번길
,2023-12-06,13000,84.64,2,1992,숙호산로
,2024-01-29,7700,59.94,1,1990,남강로1093번길
,2024-01-29,14800,83.2382,8,2007,월아산로1088번길
,2024-01-24,14000,104.8,1,1989,모덕로270번길
,2024-01-13,7500,68.31,5,1987,북장대로6번길
,2024-01-11,9700,65.2,1,1985,동진로
